year,master_chronology1,61258
1380,-0.331486329,NA
1381,-0.043735562,NA
1382,-0.147368987,NA
1383,3.486064703,NA
1384,-0.141488327,NA
1385,0.307287051,NA
1386,1.814031331,NA
1387,3.437823695,NA
1388,0.345573129,NA
1389,2.402547632,NA
1390,-0.122105625,NA
1391,2.472732232,NA
1392,-0.62902698,NA
1393,-0.212307931,NA
1394,0.257318693,NA
1395,0.749845396,NA
1396,1.740311484,NA
1397,2.379653807,NA
1398,0.350864642,NA
1399,1.038095388,NA
1400,1.634486623,NA
1401,0.43152781,NA
1402,1.255648572,NA
1403,-0.003228445,NA
1404,0.010583725,NA
1405,0.107806597,NA
1406,1.589432749,NA
1407,1.184108803,NA
1408,2.295523315,NA
1409,1.747545213,NA
1410,0.874168486,NA
1411,1.258433461,NA
1412,-0.079767541,NA
1413,0.627038891,NA
1414,-0.494644053,NA
1415,1.822566744,NA
1416,1.74694311,NA
1417,1.95905904,NA
1418,2.215774607,NA
1419,2.106097194,NA
1420,0.289958523,NA
1421,1.039775104,NA
1422,0.092389431,NA
1423,0.265679293,NA
1424,0.958421054,NA
1425,0.422366034,NA
1426,0.986485574,NA
1427,0.961169962,NA
1428,0.734595978,NA
1429,-0.245637145,NA
1430,0.536340654,NA
1431,2.033793773,NA
1432,1.690088664,NA
1433,0.654904616,NA
1434,0.971632732,NA
1435,1.298813538,NA
1436,0.708118373,NA
1437,1.914687304,NA
1438,0.364547732,NA
1439,0.969916343,NA
1440,0.858004823,NA
1441,-0.137029247,NA
1442,0.669684423,NA
1443,1.545691898,NA
1444,1.534291653,NA
1445,0.307323785,NA
1446,1.049759425,NA
1447,0.5030972,NA
1448,0.461769743,NA
1449,1.331960831,NA
1450,1.168463656,NA
1451,1.589930489,NA
1452,1.662633962,NA
1453,1.499018735,NA
1454,-0.002315446,NA
1455,0.953302598,NA
1456,0.940620303,NA
1457,0.428815801,NA
1458,0.102858046,NA
1459,2.010021122,NA
1460,1.504677248,NA
1461,0.944763243,NA
1462,1.983337277,NA
1463,1.03743458,NA
1464,1.285616141,NA
1465,0.112742183,NA
1466,0.50100996,NA
1467,0.329663755,NA
1468,0.103865576,NA
1469,0.645123468,NA
1470,0.433394566,NA
1471,0.54020831,NA
1472,0.665582556,NA
1473,0.853882446,NA
1474,1.725960966,NA
1475,2.211811538,NA
1476,0.86440056,NA
1477,1.919801028,NA
1478,0.131035346,NA
1479,1.297723562,NA
1480,1.611861752,NA
1481,0.153342451,NA
1482,0.965916843,NA
1483,0.576486713,NA
1484,1.005503799,NA
1485,1.522430849,NA
1486,1.214484364,NA
1487,1.898403354,NA
1488,-0.185693534,NA
1489,0.455855411,NA
1490,0.009974366,NA
1491,1.176841602,NA
1492,1.215996958,NA
1493,-0.018656885,NA
1494,1.372992533,NA
1495,1.998039332,NA
1496,0.548023176,NA
1497,1.917793693,NA
1498,0.504305154,NA
1499,1.454727562,NA
1500,0.370716113,NA
1501,1.239980137,NA
1502,1.197554762,NA
1503,2.112860997,NA
1504,0.706260802,NA
1505,0.852218998,NA
1506,1.018221385,NA
1507,0.831302949,NA
1508,0.746259998,NA
1509,0.431183921,NA
1510,0.319511941,NA
1511,0.682253295,NA
1512,1.080094758,NA
1513,2.060523321,NA
1514,0.478059491,NA
1515,0.670467753,NA
1516,1.515201333,NA
1517,0.550296805,NA
1518,0.350509405,NA
1519,0.464106406,NA
1520,0.729332159,NA
1521,2.107942376,NA
1522,1.716341744,NA
1523,0.691852757,NA
1524,1.420223856,NA
1525,1.305606787,NA
1526,2.412229323,NA
1527,0.037384094,NA
1528,1.206921943,NA
1529,2.666561477,NA
1530,0.219061075,NA
1531,2.009846681,NA
1532,0.01921341,NA
1533,-0.424283434,NA
1534,-0.153737364,NA
1535,0.644429111,NA
1536,2.419469141,NA
1537,-0.418055854,NA
1538,1.919463315,NA
1539,0.62122504,NA
1540,0.146516684,NA
1541,-0.025681858,NA
1542,0.883801612,NA
1543,2.051763234,NA
1544,2.141553162,NA
1545,-0.336639748,NA
1546,1.328651732,NA
1547,-0.152995797,NA
1548,1.961992476,NA
1549,1.460075181,NA
1550,1.833645234,NA
1551,0.014031493,NA
1552,-0.148301478,NA
1553,-0.204552087,NA
1554,1.763598624,NA
1555,2.26644431,NA
1556,1.545879535,NA
1557,1.982001467,NA
1558,2.038910107,NA
1559,1.096899864,NA
1560,0.756379599,NA
1561,0.76964248,NA
1562,1.023481062,NA
1563,-0.425551369,NA
1564,-0.384243879,NA
1565,-0.330866414,NA
1566,-0.389166729,NA
1567,1.72876359,NA
1568,-0.482973084,NA
1569,3.489831184,NA
1570,1.003889817,NA
1571,4.598684857,NA
1572,0.489469453,NA
1573,0.564513423,NA
1574,-0.290861135,NA
1575,0.13721267,NA
1576,0.222680898,NA
1577,4.189376641,NA
1578,0.201312064,NA
1579,-0.294240983,NA
1580,1.543465637,NA
1581,0.394215873,NA
1582,3.134136021,NA
1583,2.037763876,NA
1584,0.082434864,NA
1585,0.366573721,NA
1586,-0.480375586,NA
1587,-0.386852527,NA
1588,0.32539721,NA
1589,1.070175968,NA
1590,-0.221143835,NA
1591,1.921765194,NA
1592,1.471494994,NA
1593,2.376389578,NA
1594,2.043055561,NA
1595,1.755285966,NA
1596,-0.148962187,NA
1597,-0.279548853,NA
1598,2.007947023,NA
1599,0.382388355,NA
1600,2.956627354,NA
1601,0.462362134,NA
1602,1.486535896,NA
1603,-0.237928706,NA
1604,1.069466832,NA
1605,0.796851315,NA
1606,-0.249799678,NA
1607,0.734393849,NA
1608,2.152612058,NA
1609,-0.131429612,NA
1610,0.097127025,NA
1611,3.117539768,NA
1612,1.900424961,NA
1613,0.453354711,NA
1614,2.057103229,NA
1615,0.397944529,NA
1616,1.231755,NA
1617,0.720664359,NA
1618,1.107681877,NA
1619,0.575916365,NA
1620,0.311836687,NA
1621,0.304755058,NA
1622,0.350638653,NA
1623,0.178127909,NA
1624,1.803213331,NA
1625,0.384175956,NA
1626,1.807956833,NA
1627,0.498295687,NA
1628,0.317423019,NA
1629,2.725390972,NA
1630,0.121535253,NA
1631,1.668706052,NA
1632,1.699057106,NA
1633,0.966344716,NA
1634,1.013470984,NA
1635,1.030690916,NA
1636,1.007695833,NA
1637,1.174075095,NA
1638,0.271055368,NA
1639,1.360747598,NA
1640,0.624606675,NA
1641,0.435652968,NA
1642,1.882940854,NA
1643,1.313011672,NA
1644,0.774743347,NA
1645,-0.203851614,NA
1646,1.105534782,NA
1647,0.381623961,NA
1648,0.545262334,NA
1649,0.504235933,NA
1650,0.744731209,NA
1651,1.530293552,NA
1652,2.401593217,NA
1653,1.067258366,NA
1654,1.947473995,NA
1655,1.467027826,NA
1656,1.464365378,NA
1657,0.244271568,NA
1658,0.36901229,NA
1659,0.377809252,NA
1660,0.853374916,NA
1661,-0.292627663,NA
1662,1.674513794,NA
1663,0.621400564,NA
1664,1.327910819,NA
1665,2.108280757,NA
1666,2.011784996,NA
1667,0.413182843,NA
1668,0.222414946,NA
1669,1.334848574,NA
1670,1.993897395,NA
1671,1.711360917,NA
1672,0.433642785,NA
1673,1.150271585,NA
1674,0.776998649,NA
1675,0.048745383,NA
1676,-0.194857746,NA
1677,0.419093833,NA
1678,0.323990229,NA
1679,1.422692633,NA
1680,1.226127177,NA
1681,3.146511037,NA
1682,0.948573644,NA
1683,0.632877745,NA
1684,2.245367786,NA
1685,0.765589158,NA
1686,0.017147991,NA
1687,-0.155676957,NA
1688,3.052762811,NA
1689,-0.120902056,NA
1690,0.607342353,NA
1691,0.728230942,NA
1692,2.704245133,NA
1693,1.645731016,NA
1694,-0.351908654,NA
1695,1.219675576,NA
1696,0.626193811,NA
1697,0.65309043,NA
1698,0.453783616,NA
1699,1.813372823,NA
1700,-0.046153282,NA
1701,1.759972003,NA
1702,0.517018691,NA
1703,0.502159565,NA
1704,2.030504848,NA
1705,0.257881563,NA
1706,0.180299005,NA
1707,-0.396899456,NA
1708,1.983165996,NA
1709,2.287093831,NA
1710,3.115079501,NA
1711,0.383217197,NA
1712,1.088973411,NA
1713,2.032948546,NA
1714,0.313994889,NA
1715,0.480990111,NA
1716,0.175544779,NA
1717,0.268359628,NA
1718,1.726668401,NA
1719,0.013912033,NA
1720,-0.195741438,NA
1721,-0.226988899,NA
1722,0.976032375,NA
1723,0.279650149,NA
1724,2.612453819,NA
1725,0.784009341,NA
1726,1.567628681,NA
1727,2.608488583,NA
1728,1.304686767,NA
1729,1.27783833,NA
1730,0.514792992,NA
1731,0.797334719,NA
1732,0.2442762,NA
1733,0.359340581,NA
1734,1.915159677,NA
1735,-0.104930417,NA
1736,0.221127847,NA
1737,3.512819608,NA
1738,0.855241012,NA
1739,0.41282914,NA
1740,0.406926463,NA
1741,0.640336645,NA
1742,2.551637836,NA
1743,0.86410952,NA
1744,0.661056394,NA
1745,0.227591521,NA
1746,-0.136845176,NA
1747,0.597171838,NA
1748,0.968052508,NA
1749,1.780807445,NA
1750,0.8361567,NA
1751,1.744405293,NA
1752,2.270039519,NA
1753,-0.481018178,NA
1754,0.961735307,NA
1755,1.940675696,NA
1756,1.73803468,NA
1757,0.774267287,NA
1758,1.380378139,NA
1759,0.020557828,NA
1760,-0.348645536,NA
1761,1.334643283,NA
1762,0.131997571,NA
1763,0.633789941,NA
1764,0.346348278,NA
1765,1.454456417,NA
1766,1.480987492,NA
1767,2.176704652,NA
1768,2.009240724,NA
1769,1.147187173,NA
1770,0.810422852,NA
1771,1.25470544,NA
1772,0.099028555,NA
1773,1.95386E-05,NA
1774,0.008040739,NA
1775,0.260009365,NA
1776,0.51517505,NA
1777,0.379159003,NA
1778,1.791593352,NA
1779,1.174124029,NA
1780,0.400988233,NA
1781,1.904099745,NA
1782,0.028007047,NA
1783,0.786900407,NA
1784,0.714207824,NA
1785,1.663628536,NA
1786,1.249370684,NA
1787,0.724710902,NA
1788,1.510314055,NA
1789,0.902755254,NA
1790,2.92389981,NA
1791,0.691769915,NA
1792,0.020042237,NA
1793,0.43476934,NA
1794,1.105948179,NA
1795,0.644802857,NA
1796,1.892872658,NA
1797,1.271759236,NA
1798,-0.324526333,NA
1799,2.368556072,NA
1800,1.881445382,NA
1801,-0.291821571,NA
1802,0.969494035,NA
1803,0.017620214,NA
1804,3.871088018,NA
1805,0.148722736,NA
1806,-0.229757537,NA
1807,0.630154741,NA
1808,2.445118037,NA
1809,3.803481809,NA
1810,-0.159914004,NA
1811,-0.186764387,NA
1812,0.747036938,NA
1813,0.174068407,NA
1814,0.378434816,NA
1815,0.412817705,NA
1816,1.149781511,NA
1817,-0.087326334,NA
1818,0.556903264,NA
1819,2.604120727,NA
